UMAP 1,UMAP 2,UMAP 3,Cluster
-10.486285,1.6708127,-9.234504,2
-7.3591967,-7.609052,16.002682,4
-11.593371,-4.9975467,-9.242425,2
1.7911643,10.609037,-16.294233,1
1.9747113,15.390571,-15.114418,1
-7.317484,2.4604208,-3.3169053,2
-12.125442,8.053064,-12.782886,2
13.25103,7.6917834,-13.3186,1
2.8207297,-8.553804,-16.746685,1
8.897597,6.063757,-16.581722,1
19.046104,8.834818,-15.888584,1
7.090665,14.562206,-16.56492,1
19.229431,-2.5011604,11.44387,4
7.039512,-8.486276,16.386835,4
4.8318725,20.201694,-10.902642,1
4.8287773,20.195074,-10.906387,1
-9.184621,9.827236,0.07399563,0
-0.6223814,11.598754,-10.311661,1
20.567554,-3.010641,-1.8927019,1
13.803697,-1.6870494,13.935825,4
4.5782104,-1.4038997,-8.860059,1
1.5827435,8.966284,-8.435352,1
5.6964374,0.6218895,-13.246684,1
-4.519291,-0.6213401,-12.381852,1
10.699928,-11.0979805,-3.1279402,1
8.526221,13.897399,3.4638872,3
9.635249,13.7787485,3.2237468,3
8.50214,13.296896,3.367384,3
8.961523,13.268226,3.5122752,3
9.136856,14.370355,3.2577825,3
8.855882,14.379267,2.860175,3
9.867094,14.364135,3.3805752,3
9.615491,13.577163,2.7353559,3
-9.601374,10.336018,0.5392902,0
-9.307595,5.6706233,-8.087537,2
0.45924592,1.6992643,7.7372475,2
-5.434364,15.123723,7.1295166,2
1.33696,6.154636,-3.876555,1
-0.8648576,-7.5867047,8.808433,2
-0.7276816,-7.79205,8.868989,2
13.150698,-7.6590924,4.472968,1
21.65767,-0.5365843,-14.100057,1
12.3908,-0.22516017,-14.48933,1
7.5098143,-11.4406185,12.57277,4
17.043894,10.088817,-1.3689836,1
10.817353,-11.146911,-3.4977982,1
10.664584,-11.098404,-3.2000966,1
10.826024,-11.179538,-3.1756947,1
10.90199,-11.134213,-3.4482625,1
10.796984,-11.269242,-3.3075662,1
-9.246008,10.132392,0.51918876,0
16.951054,14.351902,-9.97363,1
0.3234234,-0.25676322,3.8985746,2
0.34177244,-0.28778824,3.8856323,2
-1.6485612,0.10227698,-3.2249262,2
13.461339,4.128481,0.7420872,1
-3.4544961,-14.387134,-10.199648,2
19.14723,3.770581,9.426123,4
1.6959465,-8.627813,14.024612,4
-11.046022,-8.068751,-2.6315796,2
-1.5712112,10.576937,16.873087,4
9.018669,14.356768,3.637228,3
8.716285,13.359985,3.9574342,3
9.35336,13.118752,3.173707,3
9.036709,13.872831,4.217048,3
8.532408,13.744526,2.8582182,3
9.107367,13.78858,3.9412994,3
-9.129797,9.929573,0.09968036,0
3.713674,10.306243,-7.8217864,1
4.3711486,6.154495,2.7831047,1
0.5392508,0.40201524,2.7891347,2
4.946798,4.989847,-2.0437205,1
5.8578053,-2.0336344,1.329648,1
5.859182,-2.0360065,1.3324075,1
5.859695,-2.0364344,1.3329675,1
5.8598137,-2.0368953,1.3336302,1
2.929547,9.894443,-8.091506,1
2.9042294,9.870485,-8.095549,1
-1.3390198,10.2010145,16.339855,4
